"fecha","num_jornada","id_competition","competition_name","competition_official_name","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_match","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","id_team","team_id_team_denomination","team_team_actual_name","team_team_actual_short_name","team_team_abbrev_name","order","id_playbyplaytype","type_description","type_normalized_description","shirt_number","local","period","minute","second","crono","score_local","score_visitor","posX","posY","wall_clock","statistics_3pt_success","statistics_3pt_tried","statistics_2pt_success","statistics_2pt_tried","statistics_1pt_success","statistics_1pt_tried","statistics_total_rebound","statistics_asis","statistics_steals","statistics_turnovers","statistics_blocks","statistics_personal_fouls","statistics_received_fouls","statistics_points"
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,122,"Inicio de partido","Start of the Game",NA,FALSE,1,10,0,"00:10:00",0,0,0,0,68061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,121,"Inicio Periodo","Start of the Quarter",NA,FALSE,1,10,0,"00:10:00",0,0,0,0,68061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,30002724,30002724,21102352,"Nathan Donald Reuvers ","Nate Reuvers","N. Reuvers","Reuvers","202",FALSE,202,NA,4397,2671,"Valencia Basket","Valencia Basket","VBC",501,178,"Salto ganado","Won jump","3",TRUE,1,10,0,"00:10:00",0,0,0,0,68468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,20209187,20209187,20209187,"Guillermo Gustavo Hernangómez Geuer","Willy Hernangómez","W. Hernangómez","Hernangómez","202",FALSE,202,NA,4386,2660,"Barça","Barça","BAR",601,179,"Salto perdido","Lost jump","14",FALSE,1,10,0,"00:10:00",0,0,0,0,68468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,20211129,20211129,20211129,"Jaime  Pradilla Gayán","Jaime Pradilla","J. Pradilla","Pradilla","202",FALSE,202,NA,4397,2671,"Valencia Basket","Valencia Basket","VBC",801,98,"Intento fallado de 3","3-Point Shot Missed","4",TRUE,1,9,47,"00:09:47",0,0,2748,-6925,68637,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,30003948,30003948,21103472,"Myles Alexander Cale ","Myles Cale","M. Cale","Cale","202",FALSE,202,NA,4386,2660,"Barça","Barça","BAR",901,104,"Rebote Defensivo","Defensive Rebound","3",FALSE,1,9,47,"00:09:47",0,0,2682,-1529,68637,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,30002724,30002724,21102352,"Nathan Donald Reuvers ","Nate Reuvers","N. Reuvers","Reuvers","202",FALSE,202,NA,4397,2671,"Valencia Basket","Valencia Basket","VBC",1201,159,"Personal no TL","Foul No FT","3",TRUE,1,9,29,"00:09:29",0,0,0,0,68655,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,20209187,20209187,20209187,"Guillermo Gustavo Hernangómez Geuer","Willy Hernangómez","W. Hernangómez","Hernangómez","202",FALSE,202,NA,4386,2660,"Barça","Barça","BAR",1301,110,"Falta recibida","Foul Received","14",FALSE,1,9,29,"00:09:29",0,0,0,0,68655,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,30000108,30000108,21102315,"Juan Ignacio Marcos ","Juani Marcos","J. Marcos","Marcos","202",FALSE,202,NA,4386,2660,"Barça","Barça","BAR",2201,98,"Intento fallado de 3","3-Point Shot Missed","2",FALSE,1,9,11,"00:09:11",0,0,4496,-5125,68688,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,20203955,20203955,20203955,"Tornike  Shengelia ","Tornike Shengelia","T. Shengelia","Shengelia","202",FALSE,202,NA,4386,2660,"Barça","Barça","BAR",2301,101,"Rebote Ofensivo","Offensive Rebound","23",FALSE,1,9,11,"00:09:11",0,0,4479,-2684,68688,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,30003948,30003948,21103472,"Myles Alexander Cale ","Myles Cale","M. Cale","Cale","202",FALSE,202,NA,4386,2660,"Barça","Barça","BAR",2401,94,"Canasta de 3","3-Point Shot Made","3",FALSE,1,9,6,"00:09:06",0,3,350,-7050,68693,1,1,0,0,0,0,1,0,0,0,0,0,0,3
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,20203955,20203955,20203955,"Tornike  Shengelia ","Tornike Shengelia","T. Shengelia","Shengelia","202",FALSE,202,NA,4386,2660,"Barça","Barça","BAR",2501,108,"Asistencia tiro de 3","Assist 3-Point Shot","23",FALSE,1,9,6,"00:09:06",0,3,0,0,68693,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2025-10-05,1,1,"Liga Nacional","Liga Endesa","https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,104467,30000108,30000108,21102315,"Juan Ignacio Marcos ","Juani Marcos","J. Marcos","Marcos","202",FALSE,202,NA,4386,2660,"Barça","Barça","BAR",2701,161,"Personal 2TL","Foul 2FT","2",FALSE,1,9,0,"00:09:00",0,3,0,0,68703,0,1,0,0,0,0,0,0,0,0,0,1,0,0
